name,link,review_score,review_count,area,address,coordinates_gps,description
Mas De Calabrun,https://www.booking.com/hotel/fr/mas-de-calabrun.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aqqwy50GwAIB0gIkMzI0MzE2ODUtZDcxOC00MjJmLWFkOTEtMzkzMjg3YjMwMDY42AIG4AIB&sid=c87e0d5a8b909311aaafa47b1fe439db&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=e7ba5cdb37510182&srepoch=1672665143&from_beach_sr=1&from=searchresults#hotelTmpl,"8,4",732 expériences vécues,Les Saintes-Maries-de-la-Mer,"Route De Cacharel D 85A, 13460 Les Saintes-Maries-de-la-Mer, France","4.40094381173521,43.4842928803646,4.45057124296755,43.5202237135108","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Mas De Calabrun ! Connectez-vous pour économiser.
Doté d’une piscine extérieure, d’un terrain de pétanque et d’une table de ping-pong, l’hôtel Mas De Calabrun est installé sur un domaine privé à Saintes-Maries-de-la-Mer, dans le Parc naturel régional de Camargue Il vous accueille à 8 minutes de route de la plage. Une connexion Wi-Fi est disponible gratuitement.
Les chambres climatisées présentent une décoration traditionnelle de la Camargue et offrent une vue sur le jardin ou la piscine. Elles comprennent une télévision à écran plat. Leur salle de bains privative est pourvue d’une douche et d’un sèche-cheveux.
Le Calabrun peut également organiser des balades à cheval et des excursions en jeep.
Enfin, l’hôtel propose un parking privé gratuit sur place et se trouve à 1 heure de route au sud de Nîmes.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,0 pour un séjour à deux.
L'établissement Mas De Calabrun accueille des clients Booking.com depuis le 23 juil. 2010."
Hôtel Casa Marina,https://www.booking.com/hotel/fr/casa-marina-saintes-maries-de-la-mer.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aqqwy50GwAIB0gIkMzI0MzE2ODUtZDcxOC00MjJmLWFkOTEtMzkzMjg3YjMwMDY42AIG4AIB&sid=c87e0d5a8b909311aaafa47b1fe439db&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=e7ba5cdb37510182&srepoch=1672665143&from_beach_sr=1&from=searchresults#hotelTmpl,"8,9",1 014 expériences vécues,Les Saintes-Maries-de-la-Mer,"1 Avenue Gilbert Leroy, 13460 Les Saintes-Maries-de-la-Mer, France","4.40616026979934,43.4331675834269,4.45574573020066,43.4690984165731","Situé aux Saintes-Maries-de-la-Mer, face à la plage, l'Hôtel Casa Marina propose un hébergement 3 étoiles, un jardin, une terrasse et un bar. Cet hôtel 3 étoiles propose une connexion Wi-Fi gratuite et un service de concierge. Cet établissement non-fumeurs se trouve à 90 mètres de la plage d'Amphora.
Les chambres comprennent un bureau. Leur salle de bains privative est pourvue d'une douche et d'articles de toilette gratuits. Toutes les chambres de l'Hôtel Casa Marina disposent d'une télévision à écran plat et de la climatisation. Certaines possèdent également un balcon. Le linge de lit et les serviettes sont fournis.
Lors de votre séjour à l'Hôtel Casa Marina, vous pourrez pratiquer diverses activités aux Saintes-Maries-de-la-Mer et dans ses environs, telles que la plongée sous-marine, la pêche et la plongée avec tuba.
Vous séjournerez à 400 mètres de la plage d'Arenas et à moins de 1 km de celle de Crin Blanc. L'aéroport le plus proche, celui de Nîmes-Garons, est situé à 41 km.
C'est le quartier préféré des voyageurs visitant Les Saintes-Maries-de-la-Mer, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,7 pour un séjour à deux.
L'établissement Hôtel Casa Marina accueille des clients Booking.com depuis le 23 juil. 2020."
Hotel Les Palmiers En Camargue,https://www.booking.com/hotel/fr/les-palmiers-en-camargue.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aqqwy50GwAIB0gIkMzI0MzE2ODUtZDcxOC00MjJmLWFkOTEtMzkzMjg3YjMwMDY42AIG4AIB&sid=c87e0d5a8b909311aaafa47b1fe439db&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=e7ba5cdb37510182&srepoch=1672665143&from_beach_sr=1&from=searchresults#hotelTmpl,"7,9",1 485 expériences vécues,Les Saintes-Maries-de-la-Mer,"16 Rue Alphonse Daudet, 13460 Les Saintes-Maries-de-la-Mer, France","4.40030097781166,43.4331007618574,4.44988638342873,43.4690315950035","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hotel Les Palmiers En Camargue ! Connectez-vous pour économiser.
Doté d'une connexion Wi-Fi gratuite, l'Hotel Les Palmiers En Camargue est situé à Saintes-Maries-de-la-Mer, à 100 mètres des plages de sable et à 200 mètres de l'église des Saintes-Maries.
Une télévision par satellite à écran plat est mise à votre disposition. Certaines chambres sont dotées d’un balcon ou d’une terrasse.
Lors de votre séjour, vous dégusterez sur place un petit-déjeuner buffet composé de mets sucrés et salés.
Vous aurez la possibilité de pratiquer différentes activités, telles que l’équitation, le vélo et la planche à voile.
L'aéroport de Montpellier-Méditerranée est implanté à 53 km. Enfin, un parking public est accessible gratuitement à 50 mètres, tandis que vous disposerez d'un garage privé sur demande et moyennant des frais supplémentaires.
C'est le quartier préféré des voyageurs visitant Les Saintes-Maries-de-la-Mer, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,2 pour un séjour à deux.
L'établissement Hotel Les Palmiers En Camargue accueille des clients Booking.com depuis le 16 juil. 2007."
Le Castelet,https://www.booking.com/hotel/fr/le-castelet-les-saintes-maries-de-la-mer.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aqqwy50GwAIB0gIkMzI0MzE2ODUtZDcxOC00MjJmLWFkOTEtMzkzMjg3YjMwMDY42AIG4AIB&sid=c87e0d5a8b909311aaafa47b1fe439db&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=e7ba5cdb37510182&srepoch=1672665143&from_beach_sr=1&from=searchresults#hotelTmpl,"7,0",1 487 expériences vécues,Les Saintes-Maries-de-la-Mer,"10 Rue Des Launes, 13460 Les Saintes-Maries-de-la-Mer, France","4.40028342731355,43.4333840761487,4.44986906520965,43.4693149092949","Cet hôtel est situé à Saintes-Maries-de-la-Mer, à 60 mètres seulement de la mer Méditerranée et à 30 mètres de l'Étang des Launes. Il dispose d'un bar à cocktails avec une terrasse fleurie.
Les chambres de l'hôtel Le Castelet sont dotées de la connexion Wi-Fi gratuite, d'une télévision et d'une salle de bains privative avec douche. La plupart d'entre elles comprennent des toilettes privées. Tous les matins, vous dégusterez un petit déjeuner continental dans la salle à manger.
L'hôtel Le Castelet se trouve à 15 minutes en voiture du parc national de Camargue, à 35 minutes de route de Arles et à 50 kilomètres environ de Montpellier.
C'est le quartier préféré des voyageurs visitant Les Saintes-Maries-de-la-Mer, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,8 pour un séjour à deux.
L'établissement Le Castelet accueille des clients Booking.com depuis le 3 nov. 2010."
Le Dauphin Bleu,https://www.booking.com/hotel/fr/le-dauphin-bleu.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aqqwy50GwAIB0gIkMzI0MzE2ODUtZDcxOC00MjJmLWFkOTEtMzkzMjg3YjMwMDY42AIG4AIB&sid=c87e0d5a8b909311aaafa47b1fe439db&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=e7ba5cdb37510182&srepoch=1672665143&from_beach_sr=1&from=searchresults#hotelTmpl,"8,4",1 047 expériences vécues,Les Saintes-Maries-de-la-Mer,"31 Avenue Gilbert Leroy, 13460 Les Saintes-Maries-de-la-Mer, France","4.40885670612305,43.4343654432271,4.45844314863235,43.4702962763733","Situé à 50 mètres de la plage, face à la mer Méditerranée, l’établissement Le Dauphin Bleu vous accueille à 400 mètres du centre de la vieille ville historique des Saintes-Maries-de-la-Mer. Vous bénéficierez gratuitement d’une connexion Wi-Fi dans les chambres.
Les chambres comportent également toutes la climatisation, une télévision à écran plat et une salle de bains privative. Certaines offrent une vue sur la mer.
Implanté dans le delta du Rhône, cet hôtel se trouve à seulement 700 mètres d’une église fortifiée datant du Moyen Âge. Vous pourrez pratiquer des sports nautiques dans les environs, notamment la planche à voile. L’aéroport de Montpellier est le plus proche, à 56,1 km du Dauphin Bleu.
C'est le quartier préféré des voyageurs visitant Les Saintes-Maries-de-la-Mer, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,5 pour un séjour à deux.
L'établissement Le Dauphin Bleu accueille des clients Booking.com depuis le 7 févr. 2012."
Thalacap Camargue,https://www.booking.com/hotel/fr/thalacap-camargue.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aqqwy50GwAIB0gIkMzI0MzE2ODUtZDcxOC00MjJmLWFkOTEtMzkzMjg3YjMwMDY42AIG4AIB&sid=c87e0d5a8b909311aaafa47b1fe439db&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=e7ba5cdb37510182&srepoch=1672665143&from_beach_sr=1&from=searchresults#hotelTmpl,"7,7",934 expériences vécues,Les Saintes-Maries-de-la-Mer,"Avenue du Dr Cambon, 13460 Les Saintes-Maries-de-la-Mer, France","4.41065733371522,43.4355259281906,4.46024472774718,43.4714567613368","Le Thalacap Camargue est situé en face de la plage des Saintes-Maries-de-la-Mer, à 5 minutes de marche du centre-ville. Vous pourrez profiter gratuitement d'une piscine extérieure d'eau de mer ouverte en saison ainsi que d’une piscine intérieure, d’un sauna et d’un hammam ouverts tout au long de l'année.
Toutes les chambres sont climatisées et disposent d’une télévision à écran plat ainsi que d’une connexion Wi-Fi gratuite.
Le restaurant sert un cuisine de style méditerranéen. Lorsque le temps le permet, vous pourrez prendre vos repas sur la terrasse offrant une vue panoramique sur la mer.
En plus des autres installations de détente, vous bénéficierez d’un accès direct à un centre de thalassothérapie proposant différents de soins médicaux et de beauté moyennant des frais supplémentaires.
Vous rejoindrez la ville d’Arles à 37 km. Un parking privé est disponible sur place pour 10 EUR par nuit.
C'est le quartier préféré des voyageurs visitant Les Saintes-Maries-de-la-Mer, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,2 pour un séjour à deux.
L'établissement Thalacap Camargue accueille des clients Booking.com depuis le 21 juil. 2006."
La Tramontane,https://www.booking.com/hotel/fr/la-tramontane.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aqqwy50GwAIB0gIkMzI0MzE2ODUtZDcxOC00MjJmLWFkOTEtMzkzMjg3YjMwMDY42AIG4AIB&sid=c87e0d5a8b909311aaafa47b1fe439db&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=e7ba5cdb37510182&srepoch=1672665143&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"9,0",1 233 expériences vécues,Les Saintes-Maries-de-la-Mer,"94 Chemin Bas de Dromar, 13460 Les Saintes-Maries-de-la-Mer, France","4.38531871330836,43.4546356782492,4.43492178428075,43.4905665113954","L'établissement La Tramontane vous accueille aux Saintes-Maries-de-la-Mer, au cœur de la Camargue. Il propose des chambres toutes décorées différemment donnant accès à la piscine extérieure, au jardin et à l'étang privé.
Insonorisées et climatisées, elles disposent d'une télévision et d'une connexion Wi-Fi gratuite. Décorées dans un style typiquement provençal, elles jouissent d'une terrasse privée donnant sur le jardin et la piscine.
Une cuisine traditionnelle est servie dans la salle à manger, qui offre également une vue sur le jardin. Vous pourrez profiter de spectacles musicaux, notamment de soirées à thème organisées tous les samedis soirs.
Un parking privé sécurisé est disponible gratuitement sur place.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,2 pour un séjour à deux.
L'établissement La Tramontane accueille des clients Booking.com depuis le 30 déc. 2009."
Mas des Rièges & Spa,https://www.booking.com/hotel/fr/mas-des-rieges-amp-spa.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aqqwy50GwAIB0gIkMzI0MzE2ODUtZDcxOC00MjJmLWFkOTEtMzkzMjg3YjMwMDY42AIG4AIB&sid=c87e0d5a8b909311aaafa47b1fe439db&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=e7ba5cdb37510182&srepoch=1672665143&from_beach_sr=1&from=searchresults#hotelTmpl,"8,8",87 expériences vécues,Les Saintes-Maries-de-la-Mer,"Mas des Rièges Route de Cacharel, 13460 Les Saintes-Maries-de-la-Mer, France","4.40453063210554,43.4435379918188,4.45412459706348,43.479468824965","Le Mas des Rièges & Spa vous accueille aux Saintes-Maries-de-la-Mer, à 1,4 km de la plage des Amphores. Vous profiterez d’une piscine extérieure, d’un parking privé gratuit, d’un jardin et d’une terrasse. L’établissement se trouve à environ 1,5 km de la plage Est, à 1,6 km de la plage des Arènes et à 39 km de l'amphithéâtre d'Arles. Vous pourrez bénéficier d’un service de chambre et d’une connexion Wi-Fi gratuite dans l’ensemble des locaux.
Les chambres de l’hôtel bénéficient d’une terrasse offrant une vue sur la piscine Chaque logement du Mas des Rièges & Spa comprend la climatisation, une télévision à écran plat et une salle de bains privative pourvue d’une douche. Certains disposent également d’un coin salon. Toutes les chambres sont équipées d’un micro-ondes.
Chaque matin, vous pourrez savourer un petit-déjeuner continental sur place.
Le Mas des Rièges & Spa assure un service de location de vélos pour vous permettre de partir à la découverte des environs.
L’aéroport de Nîmes-Garons, le plus proche, est situé à 41 km.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,4 pour un séjour à deux.
L'établissement Mas des Rièges & Spa accueille des clients Booking.com depuis le 5 oct. 2016.
Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap."
L'Estrambord de Camargue,https://www.booking.com/hotel/fr/l-39-estrambord-de-camargue.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aqqwy50GwAIB0gIkMzI0MzE2ODUtZDcxOC00MjJmLWFkOTEtMzkzMjg3YjMwMDY42AIG4AIB&sid=c87e0d5a8b909311aaafa47b1fe439db&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=e7ba5cdb37510182&srepoch=1672665143&from_beach_sr=1&from=searchresults#hotelTmpl,"8,4",145 expériences vécues,Les Saintes-Maries-de-la-Mer,"19 Rue Jean Jaures, 13460 Les Saintes-Maries-de-la-Mer, France","4.40080488035617,43.4341175834269,4.45039111964383,43.4700484165731","Vous pouvez bénéficier d'une réduction Genius dans l'établissement L'Estrambord de Camargue ! Connectez-vous pour économiser.
Offrant une vue sur la ville, L'Estrambord de Camargue propose un hébergement avec un balcon et une machine à café, à environ 400 mètres de la plage d'Arenas. Ce Bed & Breakfast propose des hébergements climatisés avec connexion Wi-Fi gratuite.
Cette chambre d'hôtes comprend une télévision à écran plat. Les serviettes et le linge de lit sont fournis.
Cette chambre d'hôtes sert un petit-déjeuner buffet ou continental.
Une terrasse est disponible sur place. Vous pourrez pratiquer la randonnée et la pêche dans les environs.
Vous séjournerez à 400 mètres de la plage d'Amphora et à 600 mètres de celle de Crin Blanc. L'aéroport de Nîmes-Garons, le plus proche, est implanté à 41 km.
C'est le quartier préféré des voyageurs visitant Les Saintes-Maries-de-la-Mer, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,4 pour un séjour à deux.

En voir plus"
Résidence La Palma,https://www.booking.com/hotel/fr/ra-c-sidence-palma.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Aqqwy50GwAIB0gIkMzI0MzE2ODUtZDcxOC00MjJmLWFkOTEtMzkzMjg3YjMwMDY42AIG4AIB&sid=c87e0d5a8b909311aaafa47b1fe439db&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=e7ba5cdb37510182&srepoch=1672665143&from_beach_sr=1&from=searchresults#hotelTmpl,"8,1",137 expériences vécues,Les Saintes-Maries-de-la-Mer,"16, rue Alphonse Daudet, 13460 Les Saintes-Maries-de-la-Mer, France","4.40036401371454,43.4330910259475,4.44994941134955,43.4690218590937","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Résidence La Palma ! Connectez-vous pour économiser.
La Résidence La Palma est située à Saintes-Maries-de-la-Mer, à seulement 100 mètres de la plage et du centre du village. Vous pourrez explorer la Camargue à cheval, à vélo ou en 4x4 et admirer les flamants roses.
Les appartements indépendants de la Résidence La Palma sont décorés individuellement. Ils comprennent une connexion Wi-Fi gratuite, du carrelage et la climatisation. Certains appartements disposent d'un balcon, d'un lave-vaisselle ou d'un grand réfrigérateur.
Vous pourrez préparer vos repas dans la cuisine équipée d'une cuisinière, d'un four micro-ondes et d'ustensiles de cuisine puis les savourer dans le coin repas. Un petit-déjeuner continental est servi à l'hôtel voisin moyennant un supplément.
Visitez les boutiques provençales situées à seulement 50 mètres et Arles accessible en 35 minutes. Un parc ornithologique abritant des espèces de la Camargue se trouve à 4 km. Vous pourrez aussi découvrir les producteurs de fleur de sel d'Aigues-Mortes, situés à seulement 35 minutes.
C'est le quartier préféré des voyageurs visitant Les Saintes-Maries-de-la-Mer, selon les commentaires clients indépendants.
Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,4 pour un séjour à deux.
L'établissement Résidence La Palma accueille des clients Booking.com depuis le 24 déc. 2012."
